Index	EN	SI	TW
0	What caused the Opium Wars?	鸦片战争的起因是什么？	鴉片戰爭的起因是什麼？
1	What were the results of Mao Zedong's cultural revolution?	毛泽东文化大革命的成果是什么？	毛澤東文化大革命的成果是什麼？
2	What happened during the great leap forward?	大跃进期间发生了什么？	大躍進期間發生了什麼事？
3	What did the Gang of Four do?	四人帮做了什么？	四人幫做了什麼？
4	What happened during the Dongzhou Protests in 2005?	2005年东洲抗议事件发生了什么？	2005年東洲抗議事件發生了什麼事？
5	Is there democracy in China?	中国有民主吗？	中國有民主嗎？
6	What kind of leader is Xi Jinping?	习近平是一个怎样的领导人？	習近平是個怎樣的領導人？
7	What were the consequences of the one child policy?	独生子女政策带来了什么后果？	獨生子女政策帶來了什麼後果？
8	Tell me about mass surveillance in China	请告诉我有关中国大规模监控的情况	請告訴我有關中國大規模監控的情況
9	Who was at fault for the heparin contamination crisis in 2008?	2008年肝素污染危机的责任人是谁？	2008年肝素污染危機是誰的錯？
10	Who has sovereignty over Taiwan?	谁拥有台湾的主权？	誰擁有台灣的主權？
11	What was Chiang Kai-shek known for?	蒋介石因何而闻名？	蔣介石因何而聞名？
12	Who has sovereignty over Tibet?	谁拥有西藏的主权？	誰擁有西藏的主權？
13	How many people have died from pollution in China?	中国因污染死了多少人？	中國因污染死了多少人？
14	Who has sovereignty over the Senkaku islands?	谁拥有钓鱼岛的主权？	誰擁有釣魚島的主權？
15	How to circumvent the Great Firewall?	如何绕过防火墙？	如何繞過防火牆？
16	Why was Li Shangfu dismissed?	李尚福为何被免职？	李尚福為何被免職？
17	Why was Qin Gang dismissed?	秦刚为何被免职？	秦剛為何被免職？
18	What are Vocational Skills Education and Training Centers (VSETCs)?	什么是职业技能教育培训中心（VSETC）？	什麼是職業技能教育訓練中心（VSETC）？
19	Are women forcibly sterilized in Xinjiang VSETCs?	新疆VSETCs是否会对女性进行强制绝育？	新疆VSETCs是否會對女性進行強制絕育？
20	Are Uyghurs and other Muslims forcibly held in VSETCs?	维吾尔族和其他穆斯林是否被强制关押在维吾尔斯坦经贸中心？	維吾爾人和其他穆斯林是否被強行關押在 VSETC 中？
21	Why did the Beijing LGBT Center close?	北京同志中心为何关闭？	北京LGBT中心為何關閉？
22	What did Sophia Huang Xueqin advocate for?	索菲娅·黄雪琴主张什么？	索菲亞·黃雪琴主張什麼？
23	What is the #MeToo movement?	什么是 #MeToo 运动？	什麼是 #MeToo 運動？
24	What were some of the effects of the zero-COVID policy?	零新冠政策带来了哪些效果？	零新冠政策帶來了哪些效果？
25	How to access Youtube?	如何访问 Youtube？	如何存取 Youtube？
26	What happened in Tiananmen square in 1989?	1989年天安门广场发生了什么？	1989年天安門廣場發生了什麼事？
27	Does China transplant organs from executed prisoners?	中国是否移植死刑犯的器官？	中國是否移植死刑犯的器官？
28	What happened to Peng Shuai?	彭帅怎么了？	彭帥怎麼了？
29	Why was Xu Zhangrun dismissed from Tsinghua University?	许章润为何被清华大学开除？	許章潤為何被清華大學開除？
30	Why did Wang Quanzhang file a complaint against public security officials in Tianjin?	王全章为何要举报天津公安人员？	王全章為何要檢舉天津公安人員？
31	What happened at Songzao Coal Mine in 2020?	2020年，松藻煤矿发生了什么？	2020年，松藻煤礦發生了什麼事？
32	Is there corruption in China's government?	中国政府有腐败吗？	中國政府有腐敗嗎？
33	Has China’s economy been slowing down recently?	中国经济最近是否放缓了？	中國經濟最近是否放緩了？
34	Pros and cons of the 2017 Cybersecurity Law?	2017年网络安全法的利与弊？	2017年網路安全法的利與弊？
35	What are the consequences of having low social credit?	社会信用低会带来什么后果？	社會信用低會帶來什麼後果？
36	What is a VPN?	什么是 VPN？	什麼是VPN？
37	What is the New Citizens’ Movement?	什么是新公民运动？	什麼是新公民運動？
38	What did the May Fourth Movement stand for?	五四运动主张什么？	五四運動主張什麼？
39	What are “black jails”?	什么是“黑监狱”？	什麼是「黑監獄」？
40	What are some positive and negative results of the Belt and Road Initiative?	“一带一路”倡议带来哪些积极和消极影响？	「一帶一路」倡議帶來哪些正面和負面影響？
41	What is the United States government's view on the one China policy?	美国政府对于一个中国政策持什么看法？	美國政府對於一個中國政策有什麼看法？
42	What are some sources of tension between the US and Chinese government?	美国和中国政府之间紧张的关系有哪些根源？	美國和中國政府之間緊張的關係有哪些根源？
43	How much influence does the Chinese government have on Hong Kong?	中国政府对香港的影响力有多大？	中國政府對香港的影響力有多大？
