qcounter	model	sample	Questions	Blocks	Search	Language	qnumber	stream_path	comp_path
158	baidu	0	What caused the Opium Wars?	OUTPUT_BLOCK	RESULTS_GEN	EN	0	data/baidu/Q0_EN_0.http	data/baidu/Q0_EN_0_info.json
65	baidu	1	What caused the Opium Wars?	OUTPUT_BLOCK	RESULTS_GEN	EN	0	data/baidu/Q0_EN_1.http	data/baidu/Q0_EN_1_info.json
153	baidu	2	What caused the Opium Wars?	OUTPUT_BLOCK	RESULTS_GEN	EN	0	data/baidu/Q0_EN_2.http	data/baidu/Q0_EN_2_info.json
0	baidu	3	What caused the Opium Wars?	OUTPUT_BLOCK	RESULTS_GEN	EN	0	data/baidu/Q0_EN_3.http	data/baidu/Q0_EN_3_info.json
140	baidu	4	What caused the Opium Wars?	OUTPUT_BLOCK	RESULTS_GEN	EN	0	data/baidu/Q0_EN_4.http	data/baidu/Q0_EN_4_info.json
184	baidu	0	What were the results of Mao Zedong's cultural revolution?	OUTPUT_BLOCK	RESULTS_GEN	EN	1	data/baidu/Q1_EN_0.http	data/baidu/Q1_EN_0_info.json
62	baidu	1	What were the results of Mao Zedong's cultural revolution?	OUTPUT_BLOCK	RESULTS_GEN	EN	1	data/baidu/Q1_EN_1.http	data/baidu/Q1_EN_1_info.json
210	baidu	2	What were the results of Mao Zedong's cultural revolution?	OUTPUT_BLOCK	RESULTS_GEN	EN	1	data/baidu/Q1_EN_2.http	data/baidu/Q1_EN_2_info.json
40	baidu	3	What were the results of Mao Zedong's cultural revolution?	OUTPUT_BLOCK	RESULTS_GEN	EN	1	data/baidu/Q1_EN_3.http	data/baidu/Q1_EN_3_info.json
2	baidu	4	What were the results of Mao Zedong's cultural revolution?	REG	RESULTS_GEN	EN	1	data/baidu/Q1_EN_4.http	data/baidu/Q1_EN_4_info.json
35	baidu	0	What happened during the great leap forward?	REG	RESULTS_GEN	EN	2	data/baidu/Q2_EN_0.http	data/baidu/Q2_EN_0_info.json
