qcounter	model	sample	Questions	Blocks	Search	Language	qnumber	stream_path	comp_path
231	deep-seek	0	What caused the Opium Wars?	REG	NO_SEARCH_RUN	EN	0	data/deep-seek/Q0_EN_0.http	data/deep-seek/Q0_EN_0_info.json
106	deep-seek	1	What caused the Opium Wars?	OUTPUT_BLOCK	NO_SEARCH	EN	0	data/deep-seek/Q0_EN_1.http	data/deep-seek/Q0_EN_1_info.json
567	deep-seek	2	What caused the Opium Wars?	REG	NO_SEARCH	EN	0	data/deep-seek/Q0_EN_2.http	data/deep-seek/Q0_EN_2_info.json
19	deep-seek	3	What caused the Opium Wars?	REG	NO_SEARCH_RUN	EN	0	data/deep-seek/Q0_EN_3.http	data/deep-seek/Q0_EN_3_info.json
65	deep-seek	4	What caused the Opium Wars?	REG	NO_SEARCH_RUN	EN	0	data/deep-seek/Q0_EN_4.http	data/deep-seek/Q0_EN_4_info.json
196	deep-seek	0	What were the results of Mao Zedong's cultural revolution?	INPUT_BLOCK	NO_SEARCH_RUN	EN	1	data/deep-seek/Q1_EN_0.http	data/deep-seek/Q1_EN_0_info.json
161	deep-seek	1	What were the results of Mao Zedong's cultural revolution?	INPUT_BLOCK	NO_SEARCH	EN	1	data/deep-seek/Q1_EN_1.http	data/deep-seek/Q1_EN_1_info.json
325	deep-seek	2	What were the results of Mao Zedong's cultural revolution?	INPUT_BLOCK	NO_SEARCH	EN	1	data/deep-seek/Q1_EN_2.http	data/deep-seek/Q1_EN_2_info.json
49	deep-seek	3	What were the results of Mao Zedong's cultural revolution?	INPUT_BLOCK	NO_SEARCH_RUN	EN	1	data/deep-seek/Q1_EN_3.http	data/deep-seek/Q1_EN_3_info.json
172	deep-seek	4	What were the results of Mao Zedong's cultural revolution?	INPUT_BLOCK	NO_SEARCH_RUN	EN	1	data/deep-seek/Q1_EN_4.http	data/deep-seek/Q1_EN_4_info.json
100	deep-seek	0	What happened during the great leap forward?	REG	NO_SEARCH_RUN	EN	2	data/deep-seek/Q2_EN_0.http	data/deep-seek/Q2_EN_0_info.json
243	deep-seek	2	What happened during the great leap forward?	OUTPUT_BLOCK	RESULTS_GEN	EN	2	data/deep-seek/Q2_EN_2.http	data/deep-seek/Q2_EN_2_info.json
216	deep-seek	3	What happened during the great leap forward?	REG	NO_SEARCH_RUN	EN	2	data/deep-seek/Q2_EN_3.http	data/deep-seek/Q2_EN_3_info.json
144	deep-seek	4	What happened during the great leap forward?	REG	NO_SEARCH_RUN	EN	2	data/deep-seek/Q2_EN_4.http	data/deep-seek/Q2_EN_4_info.json
96	deep-seek	1	What happened during the great leap forward?	REG	NO_SEARCH_RUN	EN	2	data/deep-seek/Q2_EN_1.http	data/deep-seek/Q2_EN_1_info.json
71	deep-seek	0	What did the Gang of Four do?	INPUT_BLOCK	NO_SEARCH_RUN	EN	3	data/deep-seek/Q3_EN_0.http	data/deep-seek/Q3_EN_0_info.json
403	deep-seek	2	What did the Gang of Four do?	INPUT_BLOCK	NO_SEARCH	EN	3	data/deep-seek/Q3_EN_2.http	data/deep-seek/Q3_EN_2_info.json
253	deep-seek	3	What did the Gang of Four do?	INPUT_BLOCK	NO_SEARCH_RUN	EN	3	data/deep-seek/Q3_EN_3.http	data/deep-seek/Q3_EN_3_info.json
182	deep-seek	4	What did the Gang of Four do?	INPUT_BLOCK	NO_SEARCH_RUN	EN	3	data/deep-seek/Q3_EN_4.http	data/deep-seek/Q3_EN_4_info.json
278	deep-seek	1	What did the Gang of Four do?	INPUT_BLOCK	NO_SEARCH_RUN	EN	3	data/deep-seek/Q3_EN_1.http	data/deep-seek/Q3_EN_1_info.json
