qcounter	model	sample	Questions	Blocks	Search	Language	qnumber	stream_path	comp_path
0	doubao	0	What caused the Opium Wars?	REG	NO_SEARCH	EN	0	data/doubao/Q0_EN_0.http	data/doubao/Q0_EN_0_info.json
0	doubao	1	What caused the Opium Wars?	REG	NO_SEARCH	EN	0	data/doubao/Q0_EN_1.http	data/doubao/Q0_EN_1_info.json
0	doubao	2	What caused the Opium Wars?	REG	NO_SEARCH	EN	0	data/doubao/Q0_EN_2.http	data/doubao/Q0_EN_2_info.json
0	doubao	3	What caused the Opium Wars?	REG	NO_SEARCH	EN	0	data/doubao/Q0_EN_3.http	data/doubao/Q0_EN_3_info.json
0	doubao	4	What caused the Opium Wars?	REG	NO_SEARCH	EN	0	data/doubao/Q0_EN_4.http	data/doubao/Q0_EN_4_info.json
1	doubao	0	What were the results of Mao Zedong's cultural revolution?	REG	NO_SEARCH	EN	1	data/doubao/Q1_EN_0.http	data/doubao/Q1_EN_0_info.json
1	doubao	1	What were the results of Mao Zedong's cultural revolution?	REG	NO_SEARCH	EN	1	data/doubao/Q1_EN_1.http	data/doubao/Q1_EN_1_info.json
1	doubao	2	What were the results of Mao Zedong's cultural revolution?	REG	NO_SEARCH	EN	1	data/doubao/Q1_EN_2.http	data/doubao/Q1_EN_2_info.json
1	doubao	3	What were the results of Mao Zedong's cultural revolution?	REG	NO_SEARCH	EN	1	data/doubao/Q1_EN_3.http	data/doubao/Q1_EN_3_info.json
1	doubao	4	What were the results of Mao Zedong's cultural revolution?	REG	NO_SEARCH	EN	1	data/doubao/Q1_EN_4.http	data/doubao/Q1_EN_4_info.json
2	doubao	0	What happened during the great leap forward?	REG	NO_SEARCH	EN	2	data/doubao/Q2_EN_0.http	data/doubao/Q2_EN_0_info.json
2	doubao	1	What happened during the great leap forward?	REG	NO_SEARCH	EN	2	data/doubao/Q2_EN_1.http	data/doubao/Q2_EN_1_info.json
2	doubao	2	What happened during the great leap forward?	REG	RESULTS_GEN	EN	2	data/doubao/Q2_EN_2.http	data/doubao/Q2_EN_2_info.json
2	doubao	3	What happened during the great leap forward?	REG	RESULTS_GEN	EN	2	data/doubao/Q2_EN_3.http	data/doubao/Q2_EN_3_info.json
2	doubao	4	What happened during the great leap forward?	REG	NO_SEARCH	EN	2	data/doubao/Q2_EN_4.http	data/doubao/Q2_EN_4_info.json
3	doubao	0	What did the Gang of Four do?	REG	RESULTS_GEN	EN	3	data/doubao/Q3_EN_0.http	data/doubao/Q3_EN_0_info.json
3	doubao	1	What did the Gang of Four do?	REG	NO_SEARCH	EN	3	data/doubao/Q3_EN_1.http	data/doubao/Q3_EN_1_info.json
3	doubao	2	What did the Gang of Four do?	REG	NO_SEARCH	EN	3	data/doubao/Q3_EN_2.http	data/doubao/Q3_EN_2_info.json
3	doubao	3	What did the Gang of Four do?	REG	NO_SEARCH	EN	3	data/doubao/Q3_EN_3.http	data/doubao/Q3_EN_3_info.json
3	doubao	4	What did the Gang of Four do?	REG	NO_SEARCH	EN	3	data/doubao/Q3_EN_4.http	data/doubao/Q3_EN_4_info.json
