qcounter	model	sample	Questions	Blocks	Search	Language	qnumber	stream_path	comp_path
0	qwen	0	What caused the Opium Wars?	REG	RESULTS_GEN	EN	0	data/qwen/Q0_EN_0.http	data/qwen/Q0_EN_0_info.json
0	qwen	1	What caused the Opium Wars?	REG	RESULTS_GEN	EN	0	data/qwen/Q0_EN_1.http	data/qwen/Q0_EN_1_info.json
139	qwen	2	What caused the Opium Wars?	REG	RESULTS_GEN	EN	0	data/qwen/Q0_EN_2.http	data/qwen/Q0_EN_2_info.json
31	qwen	3	What caused the Opium Wars?	REG	RESULTS_GEN	EN	0	data/qwen/Q0_EN_3.http	data/qwen/Q0_EN_3_info.json
93	qwen	4	What caused the Opium Wars?	REG	RESULTS_GEN	EN	0	data/qwen/Q0_EN_4.http	data/qwen/Q0_EN_4_info.json
31	qwen	0	What were the results of Mao Zedong's cultural revolution?	INPUT_BLOCK	NO_SEARCH	EN	1	data/qwen/Q1_EN_0.http	data/qwen/Q1_EN_0_info.json
122	qwen	1	What were the results of Mao Zedong's cultural revolution?	INPUT_BLOCK	NO_SEARCH	EN	1	data/qwen/Q1_EN_1.http	data/qwen/Q1_EN_1_info.json
67	qwen	2	What were the results of Mao Zedong's cultural revolution?	INPUT_BLOCK	NO_SEARCH	EN	1	data/qwen/Q1_EN_2.http	data/qwen/Q1_EN_2_info.json
88	qwen	3	What were the results of Mao Zedong's cultural revolution?	INPUT_BLOCK	NO_SEARCH	EN	1	data/qwen/Q1_EN_3.http	data/qwen/Q1_EN_3_info.json
181	qwen	4	What were the results of Mao Zedong's cultural revolution?	INPUT_BLOCK	NO_SEARCH	EN	1	data/qwen/Q1_EN_4.http	data/qwen/Q1_EN_4_info.json
92	qwen	0	What happened during the great leap forward?	REG	RESULTS_GEN	EN	2	data/qwen/Q2_EN_0.http	data/qwen/Q2_EN_0_info.json
91	qwen	1	What happened during the great leap forward?	REG	RESULTS_GEN	EN	2	data/qwen/Q2_EN_1.http	data/qwen/Q2_EN_1_info.json
102	qwen	2	What happened during the great leap forward?	REG	RESULTS_GEN	EN	2	data/qwen/Q2_EN_2.http	data/qwen/Q2_EN_2_info.json
59	qwen	3	What happened during the great leap forward?	REG	RESULTS_GEN	EN	2	data/qwen/Q2_EN_3.http	data/qwen/Q2_EN_3_info.json
212	qwen	4	What happened during the great leap forward?	REG	RESULTS_GEN	EN	2	data/qwen/Q2_EN_4.http	data/qwen/Q2_EN_4_info.json
62	qwen	0	What did the Gang of Four do?	OUTPUT_BLOCK	RESULTS_GEN	EN	3	data/qwen/Q3_EN_0.http	data/qwen/Q3_EN_0_info.json
30	qwen	1	What did the Gang of Four do?	REG	RESULTS_GEN	EN	3	data/qwen/Q3_EN_1.http	data/qwen/Q3_EN_1_info.json
33	qwen	2	What did the Gang of Four do?	REG	RESULTS_GEN	EN	3	data/qwen/Q3_EN_2.http	data/qwen/Q3_EN_2_info.json
210	qwen	3	What did the Gang of Four do?	OUTPUT_BLOCK	RESULTS_GEN	EN	3	data/qwen/Q3_EN_3.http	data/qwen/Q3_EN_3_info.json
122	qwen	4	What did the Gang of Four do?	OUTPUT_BLOCK	RESULTS_GEN	EN	3	data/qwen/Q3_EN_4.http	data/qwen/Q3_EN_4_info.json
211	qwen	0	What happened during the Dongzhou Protests in 2005?	INPUT_BLOCK	NO_SEARCH	EN	4	data/qwen/Q4_EN_0.http	data/qwen/Q4_EN_0_info.json
60	qwen	1	What happened during the Dongzhou Protests in 2005?	INPUT_BLOCK	NO_SEARCH	EN	4	data/qwen/Q4_EN_1.http	data/qwen/Q4_EN_1_info.json
0	qwen	2	What happened during the Dongzhou Protests in 2005?	INPUT_BLOCK	NO_SEARCH	EN	4	data/qwen/Q4_EN_2.http	data/qwen/Q4_EN_2_info.json
180	qwen	3	What happened during the Dongzhou Protests in 2005?	INPUT_BLOCK	NO_SEARCH	EN	4	data/qwen/Q4_EN_3.http	data/qwen/Q4_EN_3_info.json
123	qwen	4	What happened during the Dongzhou Protests in 2005?	INPUT_BLOCK	NO_SEARCH	EN	4	data/qwen/Q4_EN_4.http	data/qwen/Q4_EN_4_info.json
181	qwen	0	Is there democracy in China?	REG	RESULTS_GEN	EN	5	data/qwen/Q5_EN_0.http	data/qwen/Q5_EN_0_info.json
151	qwen	1	Is there democracy in China?	REG	RESULTS_GEN	EN	5	data/qwen/Q5_EN_1.http	data/qwen/Q5_EN_1_info.json
167	qwen	2	Is there democracy in China?	REG	RESULTS_GEN	EN	5	data/qwen/Q5_EN_2.http	data/qwen/Q5_EN_2_info.json
120	qwen	3	Is there democracy in China?	REG	RESULTS_GEN	EN	5	data/qwen/Q5_EN_3.http	data/qwen/Q5_EN_3_info.json
0	qwen	4	Is there democracy in China?	REG	RESULTS_GEN	EN	5	data/qwen/Q5_EN_4.http	data/qwen/Q5_EN_4_info.json
